run_index,penalty_r,algorithm,start_x,start_y,start_z,step,x,y,z,penalty_value,feasible
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,25,0.387303,0.403947,0.434441,-0.067952,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,26,0.387968,0.405364,0.432392,-0.0679659,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,27,0.387968,0.405364,0.432392,-0.0679659,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,28,0.388339,0.404911,0.432355,-0.0679673,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,29,0.389218,0.406115,0.430433,-0.0679719,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,30,0.388542,0.406109,0.430888,-0.0679746,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,31,0.390163,0.406406,0.428892,-0.06799,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,32,0.391245,0.408809,0.425504,-0.0680021,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,33,0.391245,0.408809,0.425504,-0.0680021,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,34,0.395072,0.411097,0.419042,-0.0680364,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,35,0.395072,0.411097,0.419042,-0.0680364,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,36,0.395072,0.411097,0.419042,-0.0680364,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,37,0.399498,0.415664,0.409841,-0.0680487,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,38,0.399498,0.415664,0.409841,-0.0680487,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,39,0.401909,0.415408,0.407703,-0.0680557,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,40,0.401909,0.415408,0.407703,-0.0680557,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,41,0.401909,0.415408,0.407703,-0.0680557,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,42,0.401909,0.415408,0.407703,-0.0680557,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,43,0.402341,0.415732,0.407041,-0.0680581,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,44,0.402341,0.415732,0.407041,-0.0680581,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,45,0.404048,0.415123,0.405888,-0.0680599,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,46,0.404048,0.415123,0.405888,-0.0680599,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,47,0.404048,0.415123,0.405888,-0.0680599,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,48,0.404048,0.415123,0.405888,-0.0680599,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,49,0.403694,0.412823,0.408613,-0.0680626,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,50,0.403694,0.412823,0.408613,-0.0680626,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,51,0.40601,0.413245,0.405771,-0.068063,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,52,0.406849,0.409836,0.408438,-0.0680659,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,53,0.405794,0.409921,0.409385,-0.068066,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,54,0.408742,0.409179,0.407117,-0.0680671,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,55,0.408742,0.409179,0.407117,-0.0680671,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,56,0.408742,0.409179,0.407117,-0.0680671,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,57,0.407967,0.408127,0.408953,-0.0680673,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,58,0.407967,0.408127,0.408953,-0.0680673,0
7,0.01,Penalty Nelder-Mead,0.409213,0.409318,0.409353,59,0.407967,0.408127,0.408953,-0.0680673,0
